method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
000412b906bfb1dafce47a025ed5fcbf,61e4703f1b20c06f5461d5f6cc1952ed,pair_formed_by_refactoring,signature_changed,signature_changed,0.94,0.97
001e41121491676a1e1ef073cb44c95b,8172882bebfbda5a2db447a6a522c748,method_b_added,exact,added,1.0,
001e41121491676a1e1ef073cb44c95b,efee7f2853ac5565d7c6e6b3ae399a89,pair_formed_naturally,exact,exact,1.0,1.0
0044f157f9ed4f298a6e7d3652a351a9,0831d9f72a0980b681ef49cb86e983c3,pair_formed_naturally,exact,exact,1.0,1.0
0044f157f9ed4f298a6e7d3652a351a9,6e89812240827f6c459883c6014805f8,pair_formed_naturally,exact,exact,1.0,1.0
0044f157f9ed4f298a6e7d3652a351a9,73dc77fe998b45dd279a9600a53d79ca,pair_formed_naturally,exact,exact,1.0,1.0
0044f157f9ed4f298a6e7d3652a351a9,9685b75cccefdf53bfda8b69da7b5558,pair_formed_naturally,exact,exact,1.0,1.0
0044f157f9ed4f298a6e7d3652a351a9,dda28d3e4f09e6ad5c7fbfb564baa315,pair_formed_naturally,exact,exact,1.0,1.0
0044f157f9ed4f298a6e7d3652a351a9,f833b28ae5d3ed27dbd67f2be29233f0,pair_formed_naturally,exact,exact,1.0,1.0
005668b173be5c2e4db34fb37407ebbf,c1802ef4d9f58f1161d4521e6d3ca201,pair_formed_by_refactoring,signature_changed,signature_changed,1.0,1.0
005668b173be5c2e4db34fb37407ebbf,fe7696b4ebab10eddcf81f4e52d86374,pair_formed_by_refactoring,signature_changed,exact,1.0,1.0
00574057e1da50b7c8c398f0045c626e,428a157e187c10086217f698d8f62c5d,pair_formed_naturally,exact,exact,1.0,1.0
00574057e1da50b7c8c398f0045c626e,bc6aefb7e3bc88635e4c123158c33a4f,pair_formed_naturally,exact,exact,1.0,1.0
00604167811f70d56128b28180335149,4ee475ede42cee02c3c5075d2e6340ac,method_b_added,exact,added,1.0,
00673fcc09645d6b1f52edaab448baf3,5e758d61d9c269536d214568d4e12aeb,pair_formed_by_refactoring,signature_changed,signature_changed,0.95,0.97
0092ab8ce28bdeaec822c0922ec9c7c5,1c614e7ab1bf12468802d819e12fbad8,method_b_added,exact,added,1.0,
0092ab8ce28bdeaec822c0922ec9c7c5,754155aa758a99e78a526d2ef860bc9a,method_b_added,exact,added,1.0,
0092ab8ce28bdeaec822c0922ec9c7c5,ba900506bb0b80cdd41a31088e439a29,method_b_added,exact,added,1.0,
0099f215ab75eb244df06317ba4ca785,018efa9071b234ce3fd220949d376304,method_a_added,added,exact,,1.0
0099f215ab75eb244df06317ba4ca785,03bdadfd64bad7fadb9e728824d03726,method_a_added,added,exact,,1.0
0099f215ab75eb244df06317ba4ca785,0b69d58c6f5b14cb374264ca5bf061c8,both_added,added,added,,
0099f215ab75eb244df06317ba4ca785,0d784eeae7bfd5e10b9e04e879658b53,both_added,added,added,,
0099f215ab75eb244df06317ba4ca785,0f76e1b93552a65c385550c8a0f7dc34,method_a_added,added,exact,,1.0
0099f215ab75eb244df06317ba4ca785,2c78681e56a6dbabd273c6922350711c,both_added,added,added,,
0099f215ab75eb244df06317ba4ca785,3ad30b03b3d23ac6b5f5d57906353375,method_a_added,added,exact,,1.0
0099f215ab75eb244df06317ba4ca785,3d45174a13d1be4bf23ca8d7ca10e8f3,both_added,added,added,,
0099f215ab75eb244df06317ba4ca785,3f848d0c33352014b6614c09f16f36b9,method_a_added,added,exact,,1.0
0099f215ab75eb244df06317ba4ca785,5287e57b81b806fdd8290b0249dcbea1,both_added,added,added,,
0099f215ab75eb244df06317ba4ca785,5fbb3dde9fb1caa89a23771f5f9a9b1c,method_a_added,added,renamed,,0.96
0099f215ab75eb244df06317ba4ca785,617a9cf79697c0a24bb2960fa00587b1,both_added,added,added,,
0099f215ab75eb244df06317ba4ca785,62e01423cfc59329b6acb874696c0590,both_added,added,added,,
0099f215ab75eb244df06317ba4ca785,63cf86aa8f00483221555d97e8c6ccbf,method_a_added,added,exact,,1.0
0099f215ab75eb244df06317ba4ca785,69e327a3702f703e15312f4c6c414010,both_added,added,added,,
0099f215ab75eb244df06317ba4ca785,6a7f5ff621d20a43a9d19340bef3db1a,method_a_added,added,exact,,1.0
0099f215ab75eb244df06317ba4ca785,6ac048a47fe6abf40205dd46d4bfad09,both_added,added,added,,
0099f215ab75eb244df06317ba4ca785,705e66b2a079e3feab6f7078379e6509,both_added,added,added,,
0099f215ab75eb244df06317ba4ca785,732086653f776c9992a99cb87038458d,both_added,added,added,,
0099f215ab75eb244df06317ba4ca785,7d10bf747bbe5bb03004385a0eb2fa5f,both_added,added,added,,
0099f215ab75eb244df06317ba4ca785,81b4d775b96c465bff5c607f9b8c2a3d,both_added,added,added,,
0099f215ab75eb244df06317ba4ca785,89f40506bdbb16ebd103b12766758db7,both_added,added,added,,
0099f215ab75eb244df06317ba4ca785,9618897eccacf463c5528d3d095ce177,both_added,added,added,,
0099f215ab75eb244df06317ba4ca785,a02cf644bc5118e5e473829862bc5886,both_added,added,added,,
0099f215ab75eb244df06317ba4ca785,a7a4b5bf23cb560d08106ef75e1c73f8,both_added,added,added,,
0099f215ab75eb244df06317ba4ca785,aaaeae07c0f3858e3e6e9b4976a0239a,both_added,added,added,,
0099f215ab75eb244df06317ba4ca785,ae0e3229492ed8b94b680ebb32321405,both_added,added,added,,
0099f215ab75eb244df06317ba4ca785,af42bed76f614419d588eb3c65769f97,both_added,added,added,,
0099f215ab75eb244df06317ba4ca785,c23d5f76ef396a0f520ca6c677dccc1f,method_a_added,added,exact,,1.0
0099f215ab75eb244df06317ba4ca785,cfe1ac5b7858b370c320c67133b10c14,both_added,added,added,,
0099f215ab75eb244df06317ba4ca785,d36033982e36aa3cdaed9f357e6f21c9,both_added,added,added,,
0099f215ab75eb244df06317ba4ca785,da2ae411a236d52fa1e62a224bb1e88a,both_added,added,added,,
0099f215ab75eb244df06317ba4ca785,dd720a31ae01f8066abe782818b59699,both_added,added,added,,
0099f215ab75eb244df06317ba4ca785,e140a1f52f61951950d0af8aedac4c01,both_added,added,added,,
0099f215ab75eb244df06317ba4ca785,efe94917387a9794795e7fc79557dffa,both_added,added,added,,
0099f215ab75eb244df06317ba4ca785,fabd6966abaabe52f19e44a088986cda,both_added,added,added,,
00f531c151e999c71215030651919096,0c600a573d485ca2c2fba7f0f3a45cdd,pair_formed_naturally,exact,exact,1.0,1.0
00f8efebd8fa45c54848e4801e3e0e48,33f287bd07a6ce02c2968b62dcc03ce3,pair_formed_naturally,exact,exact,1.0,1.0
00fbf7ff739dfb491896b3387468d02d,0b4a9dd28129a6470e701f5690b7245b,both_added,added,added,,
00fbf7ff739dfb491896b3387468d02d,55e2444f4587a61194f24649109c7ce9,both_added,added,added,,
00fc35231ee6c04b3676b290e0683c43,0158a0a6fa119bbf00cee3b8cc034b7e,method_a_added,added,exact,,1.0
00fc35231ee6c04b3676b290e0683c43,9f4caac1e496e1d46e79793c1b81cd4e,both_added,added,added,,
00fc35231ee6c04b3676b290e0683c43,c53102c1707c089a2bafe636bc2a33c7,method_a_added,added,exact,,1.0
00fc35231ee6c04b3676b290e0683c43,c9261afaa9f149e9d9ee0e42f8c8f811,both_added,added,added,,
00fc35231ee6c04b3676b290e0683c43,d5d1ac3a738c071caab8382e87312851,method_a_added,added,exact,,1.0
01091df04546cd5f37eb38bf807a3c9b,f707ca4cf6ac4182c50da6ef60acdba0,pair_formed_naturally,exact,exact,1.0,1.0
011d47deeb94a8fe1d650dcacb88ead6,0a9f3a2319c6edf4e1fe3612eb5179bc,both_added,added,added,,
011d47deeb94a8fe1d650dcacb88ead6,1ba2274566dafea61d0ce55846023635,both_added,added,added,,
011d47deeb94a8fe1d650dcacb88ead6,be0b1935cc7c9ca4536d4eab0fb35d68,both_added,added,added,,
0124cc43ccc373a545610ece59ab6092,25358373131b65f5889d7977a70c99fd,method_a_added,added,exact,,1.0
0124cc43ccc373a545610ece59ab6092,3a7b2e03cf8cc2290e2a9a6f256bd472,method_a_added,added,exact,,1.0
0124cc43ccc373a545610ece59ab6092,a7803e467a8fcbb80e1c14053dca1d99,method_a_added,added,refactored,,0.87
012a88879d174d5c8d69155226253beb,0786b23bf631c86efa429e9f41c7bb97,pair_formed_naturally,exact,exact,1.0,1.0
012a88879d174d5c8d69155226253beb,1a21dab958ffbe4a5469dfa057483c1f,pair_formed_by_refactoring,exact,signature_changed,1.0,0.94
012a88879d174d5c8d69155226253beb,3763133b97b45b616c9eda059ba82e27,pair_formed_by_refactoring,exact,signature_changed,1.0,0.94
012a88879d174d5c8d69155226253beb,4595d9b728057618d5e9137c85f42a89,pair_formed_naturally,exact,exact,1.0,1.0
012a88879d174d5c8d69155226253beb,4e1bc6785818db63dea358aa4d67273c,pair_formed_by_refactoring,exact,signature_changed,1.0,0.95
012a88879d174d5c8d69155226253beb,50a5994df6dcd51fc07cc54dc2be41b6,pair_formed_naturally,exact,exact,1.0,1.0
012a88879d174d5c8d69155226253beb,5504c5cbd0718cd7df1ccc39b284b553,pair_formed_by_refactoring,exact,signature_changed,1.0,0.97
012a88879d174d5c8d69155226253beb,670eb68a249feb334f199dfdba303fb4,pair_formed_naturally,exact,exact,1.0,1.0
012a88879d174d5c8d69155226253beb,68eb1530d129d691731cd5d1096e7523,pair_formed_naturally,exact,exact,1.0,1.0
012a88879d174d5c8d69155226253beb,71e3dc7756a0f15a43c8f0991ee8ef0f,pair_formed_by_refactoring,exact,signature_changed,1.0,0.97
012a88879d174d5c8d69155226253beb,80e30ce7944bbd4be1e347a5a952e133,pair_formed_naturally,exact,exact,1.0,1.0
012a88879d174d5c8d69155226253beb,91c78157438767829d1f1aaeb8d69bc5,pair_formed_by_refactoring,exact,signature_changed,1.0,0.94
012a88879d174d5c8d69155226253beb,c41333d4e0c1101f816be5c141cba0cb,pair_formed_naturally,exact,exact,1.0,1.0
